candidato,ubicacion,votos_actuales,votos_proyectados,actas_contabilizadas,participacion
JUNTOS POR EL PERÚ,010000,55364,48448,93.662,58.366
FUERZA POPULAR,010000,26764,23421,93.662,58.366
PARTIDO CÍVICO OBRAS,010000,16390,14342,93.662,58.366
AHORA NACIÓN - AN,010000,9252,8096,93.662,58.366
PARTIDO DEL BUEN GOBIERNO,010000,5637,4932,93.662,58.366
RENOVACIÓN POPULAR,010000,5712,4998,93.662,58.366
PARTIDO PAÍS PARA TODOS,010000,3827,3349,93.662,58.366
ALIANZA PARA EL PROGRESO,010000,3149,2755,93.662,58.366
PARTIDO DEMOCRÁTICO SOMOS PERÚ,010000,3283,2872,93.662,58.366
"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",010000,2533,2216,93.662,58.366
PODEMOS PERÚ,010000,4086,3575,93.662,58.366
PARTIDO SICREO,010000,2172,1900,93.662,58.366
ALIANZA ELECTORAL VENCEREMOS,010000,1789,1565,93.662,58.366
PARTIDO PATRIÓTICO DEL PERÚ,010000,1661,1453,93.662,58.366
PARTIDO POLÍTICO COOPERACIÓN POPULAR,010000,1274,1114,93.662,58.366
PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,010000,1381,1208,93.662,58.366
PARTIDO FRENTE DE LA ESPERANZA 2021,010000,1258,1100,93.662,58.366
PARTIDO APRISTA PERUANO,010000,1142,999,93.662,58.366
PARTIDO POLÍTICO PERÚ PRIMERO,010000,1094,957,93.662,58.366
PARTIDO DEMÓCRATA UNIDO PERÚ,010000,814,712,93.662,58.366
UN CAMINO DIFERENTE,010000,587,513,93.662,58.366
PARTIDO DEMÓCRATA VERDE,010000,616,539,93.662,58.366
PARTIDO MORADO,010000,503,440,93.662,58.366
UNIDAD NACIONAL,010000,471,412,93.662,58.366
PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,010000,351,307,93.662,58.366
PROGRESEMOS,010000,324,283,93.662,58.366
PARTIDO POLÍTICO PERÚ ACCIÓN,010000,303,265,93.662,58.366
AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,010000,308,269,93.662,58.366
PARTIDO DEMOCRATICO FEDERAL,010000,268,234,93.662,58.366
FUERZA Y LIBERTAD,010000,189,165,93.662,58.366
SALVEMOS AL PERÚ,010000,237,207,93.662,58.366
FE EN EL PERÚ,010000,217,189,93.662,58.366
LIBERTAD POPULAR,010000,202,176,93.662,58.366
PARTIDO POLÍTICO PRIN,010000,150,131,93.662,58.366
PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,010000,94,82,93.662,58.366
PERÚ MODERNO,010000,59,51,93.662,58.366
JUNTOS POR EL PERÚ,020000,75205,65811,93.662,58.366
FUERZA POPULAR,020000,90889,79536,93.662,58.366
PARTIDO CÍVICO OBRAS,020000,50695,44363,93.662,58.366
AHORA NACIÓN - AN,020000,44630,39055,93.662,58.366
